Right_Elbow_X,Right_Elbow_Y,BICEPS_Affected_upper,BICEPS_Affected_lower
-0.4177604,-0.9725404,0.8243307385548888,-0.3290307144424993
-0.41726553,-0.97093827,0.8340854003247886,-0.3392076611792015
-0.41734317,-0.97070456,0.8194257920644862,-0.310998253170276
-0.42301533,-0.96742505,0.8216826593885052,-0.3110331994448446
-0.42755732,-0.9663126,0.8322451929479964,-0.3461492360246109
-0.4293315,-0.9675476,0.8345466864021799,-0.3253645811926801
-0.42948142,-0.9697567,0.8469349108601847,-0.3852064153266064
-0.42937097,-0.9703038,0.8323926155681304,-0.385816102778803
-0.42678025,-0.9677983,0.848791552667303,-0.3857742949558701
-0.42731902,-0.9713719,0.8300545805247505,-0.3531167532928658
-0.42653143,-0.9724429,0.8329035282193994,-0.3337105564386067
-0.42499706,-0.9674423,0.8150381986683638,-0.3116719302556822
-0.42528307,-0.9652844,0.8282108066187053,-0.3319118444039574
-0.42342335,-0.96259564,0.8277161685398337,-0.3146188265383448
-0.4245916,-0.9588853,0.8134231761679197,-0.2900767892522187
-0.4301279,-0.9593943,0.8052358557197618,-0.257721890374578
-0.42921078,-0.9608311,0.8186138165056989,-0.2971439697874908
-0.43069255,-0.9623383,0.8195254576586267,-0.3020392398845024
-0.43117246,-0.96613765,0.8282685891275124,-0.3238655805103608
-0.4298786,-0.9688321,0.8224358013310874,-0.3273591010906648
-0.42925307,-0.96847206,0.8359387649482005,-0.344409155943073
-0.42854795,-0.96845317,0.8359677403693991,-0.3229360612316438
-0.4276557,-0.9666647,0.825511335500727,-0.3370657824537413
-0.4267882,-0.9669242,0.8260751800789712,-0.3714868587967748
-0.42679027,-0.9658175,0.8456907414897169,-0.4095029005512053
-0.4263254,-0.9661535,0.8480192758760315,-0.4177572999146801
-0.42636624,-0.9658675,0.8600003406244775,-0.4554518420486674
-0.42645726,-0.96500105,0.856972833410239,-0.4516443031727045
-0.42728382,-0.9646067,0.860260338706326,-0.4723880320722318
-0.43034732,-0.9643842,0.8550679631678069,-0.4675730662876994
-0.4312753,-0.9651615,0.8606517922953995,-0.458212126153743
-0.4327176,-0.9666247,0.8509696548819844,-0.4402287722930121
-0.43479928,-0.9684219,0.8420691199200827,-0.4256782556643511
-0.43512058,-0.9692975,0.8400852015423326,-0.3865953210970582
-0.43514085,-0.9689811,0.8280559091244128,-0.3365972744544925
-0.43331668,-0.96933544,0.8248270146479377,-0.3228052524157571
-0.42821312,-0.968174,0.8166782574888528,-0.3045375177752792
-0.42467254,-0.9671718,0.8073047772929589,-0.2966444539755743
-0.42396972,-0.96802133,0.8077030065189803,-0.2539285766410423
-0.4234112,-0.97020495,0.7953508343268104,-0.2058598636347419
-0.4205489,-0.9734678,0.7876505314691468,-0.1747305288265954
-0.42080197,-0.9741462,0.7827935905700791,-0.1556012076036961
-0.4199268,-0.97525793,0.7692522762266667,-0.0982576157307595
-0.41749224,-0.9767557,0.7649406312056993,-0.0984636482711396
-0.4156592,-0.9768604,0.7679076170538348,-0.1084935911389229
-0.4135687,-0.9771312,0.7735575063310121,-0.1289247325325122
-0.41361892,-0.976542,0.7735754504782381,-0.1391113361921477
-0.41450307,-0.9778773,0.7729585652679718,-0.146442136050709
-0.41315293,-0.9789532,0.7809912356723409,-0.1601468373584867
-0.41194713,-0.98023134,0.7877241608774446,-0.181558713088184
-0.40915453,-0.98243785,0.7871705092001186,-0.192453594804418
-0.4066199,-0.9830621,0.7893899692027628,-0.1991540939927323
