patient,joint,mae_x,mae_y,rmse_x,rmse_y,corr_x,corr_y
TOLFB10,Left_Wrist,0.20829466666666666,0.12029383333333334,0.29452116666666667,0.17962833333333336,0.6216388333333334,0.8951996666666666
TOLFB10,Right_Elbow,0.1352715,0.10619116666666667,0.174341,0.127826,0.6863821666666667,0.8683901666666666
TOLFB10,Right_Shoulder,0.09073749999999998,0.0187325,0.10467333333333333,0.021611333333333333,0.4548856666666667,-0.00790800000000001
TOLFB10,Right_Wrist,0.2715491666666667,0.15559766666666666,0.34767366666666666,0.21117750000000002,0.6272676666666667,0.8948128333333333
TOLFB11,Left_Elbow,0.1260445,0.04287633333333333,0.15124433333333334,0.054995499999999996,0.7059973333333334,0.8815413333333333
TOLFB11,Left_Shoulder,0.04005516666666667,0.014998333333333334,0.04872400000000001,0.0172515,0.5352941666666666,0.23076666666666668
TOLFB11,Left_Wrist,0.20948766666666666,0.09521133333333333,0.25486516666666664,0.11468666666666666,0.8040025000000001,0.908629
TOLFB11,Right_Elbow,0.11861966666666668,0.0820065,0.141705,0.09377433333333333,0.6375713333333334,0.8463388333333334
TOLFB11,Right_Shoulder,0.088567,0.016451999999999998,0.09545383333333333,0.018727499999999998,0.6350205,0.21353516666666664
TOLFB11,Right_Wrist,0.2318355,0.09860000000000001,0.2743251666666667,0.12097600000000001,0.7638258333333333,0.9031838333333333
TOLFB12,Left_Elbow,0.16428933333333334,0.13845166666666667,0.19888766666666666,0.15899816666666666,0.5854343333333333,0.7740188333333333
TOLFB12,Left_Shoulder,0.052693666666666666,0.023801666666666665,0.060732833333333326,0.028296666666666664,0.22664766666666666,-0.1099265
TOLFB12,Left_Wrist,0.226797,0.12852616666666666,0.2679235,0.160174,0.6474371666666666,0.90767
TOLFB12,Right_Elbow,0.21551016666666667,0.16240200000000002,0.24899183333333333,0.18533433333333335,0.31523966666666664,0.8525701666666666
TOLFB12,Right_Shoulder,0.0348065,0.0254185,0.03953383333333333,0.029701500000000002,0.5510493333333333,-0.111471
TOLFB12,Right_Wrist,0.3192198333333333,0.1694215,0.3685198333333333,0.20775983333333334,0.5405363333333334,0.9128820000000001
TOLFB13,Left_Elbow,0.2738055,0.06190366666666666,0.294229,0.077486,0.7760345000000001,0.9107175
TOLFB13,Left_Shoulder,0.07791133333333333,0.009252666666666668,0.08214316666666667,0.011513,0.5378635,0.07609516666666667
TOLFB13,Left_Wrist,0.32211866666666666,0.07810516666666667,0.3604985,0.10372666666666668,0.7994633333333333,0.9452006666666667
TOLFB13,Right_Elbow,0.24821400000000002,0.12480999999999999,0.285937,0.14395966666666668,0.5059856666666667,0.914916
TOLFB13,Right_Shoulder,0.0652165,0.009175500000000001,0.0712945,0.011419666666666667,0.5831791666666667,0.06662216666666666
TOLFB13,Right_Wrist,0.436749,0.17096633333333333,0.5020158333333333,0.21448083333333334,0.4942516666666667,0.9382514999999999
TOLFB14,Left_Elbow,0.13765633333333332,0.07938933333333333,0.17915366666666666,0.11179783333333333,0.5652903333333333,0.6930091666666667
TOLFB14,Left_Shoulder,0.04147883333333333,0.014727333333333334,0.06013283333333333,0.016516333333333334,0.31781750000000003,0.21344033333333332
TOLFB14,Left_Wrist,0.18479216666666667,0.11410233333333335,0.262662,0.20732566666666666,0.6021513333333334,0.8179555000000001
TOLFB14,Right_Elbow,0.17620899999999998,0.11906683333333333,0.21341533333333332,0.1457425,0.4913343333333333,0.7768845
TOLFB14,Right_Shoulder,0.08195999999999999,0.017190333333333332,0.0929505,0.019048166666666668,0.30231883333333337,0.15857466666666667
TOLFB14,Right_Wrist,0.2999366666666667,0.14648133333333332,0.3787236666666667,0.226328,0.4550625,0.8107388333333333
TOLFB16,Left_Elbow,0.09002833333333334,0.04811000000000001,0.11626333333333333,0.07216916666666667,0.7493773333333333,0.8946003333333333
TOLFB16,Left_Shoulder,0.03128383333333334,0.007562666666666666,0.042280333333333336,0.009288666666666666,0.5766765,0.27811383333333334
